question,intent
នៅឯណាមាន?,FindToilet
មាននៅឯណា?,FindToilet
មាននៅឯណាខ្លះ?,FindToilet
នៅឯណាខ្លះមាន?,FindToilet
មាននៅកន្លែងណា?,FindToilet
នៅកន្លែងណាមាន?,FindToilet
មាននៅកន្លែងណាខ្លះ?,FindToilet
នៅកន្លែងណាខ្លះមាន?,FindToilet
កន្លែងបន្ទោបងមាននៅឯណា?,FindToilet
នៅឯណាមានកន្លែងបន្ទោបង?,FindToilet
កន្លែងបន្ទោបងមាននៅឯណាខ្លះ?,FindToilet
នៅឯណាខ្លះមានកន្លែងបន្ទោបង?,FindToilet
កន្លែងបន្ទោបងមាននៅកន្លែងណា?,FindToilet
នៅកន្លែងណាមានកន្លែងបន្ទោបង?,FindToilet
កន្លែងបន្ទោបងមាននៅកន្លែងណាខ្លះ?,FindToilet
នៅកន្លែងណាខ្លះមានកន្លែងបន្ទោបង?,FindToilet
កន្លែងរំដោះទុក្ខសត្វមាននៅឯណា?,FindToilet
នៅឯណាមានកន្លែងរំដោះទុក្ខសត្វ?,FindToilet
កន្លែងរំដោះទុក្ខសត្វមាននៅឯណាខ្លះ?,FindToilet
នៅឯណាខ្លះមានកន្លែងរំដោះទុក្ខសត្វ?,FindToilet
កន្លែងរំដោះទុក្ខសត្វមាននៅកន្លែងណា?,FindToilet
នៅកន្លែងណាមានកន្លែងរំដោះទុក្ខសត្វ?,FindToilet
កន្លែងរំដោះទុក្ខសត្វមាននៅកន្លែងណាខ្លះ?,FindToilet
នៅកន្លែងណាខ្លះមានកន្លែងរំដោះទុក្ខសត្វ?,FindToilet
បន្ទោបងមាននៅឯណា?,FindToilet
នៅឯណាមានបន្ទោបង?,FindToilet
បន្ទោបងមាននៅឯណាខ្លះ?,FindToilet
នៅឯណាខ្លះមានបន្ទោបង?,FindToilet
បន្ទោបងមាននៅកន្លែងណា?,FindToilet
នៅកន្លែងណាមានបន្ទោបង?,FindToilet
បន្ទោបងមាននៅកន្លែងណាខ្លះ?,FindToilet
នៅកន្លែងណាខ្លះមានបន្ទោបង?,FindToilet
បន្ទប់ទឹកមាននៅឯណា?,FindToilet
នៅឯណាមានបន្ទប់ទឹក?,FindToilet
បន្ទប់ទឹកមាននៅឯណាខ្លះ?,FindToilet
នៅឯណាខ្លះមានបន្ទប់ទឹក?,FindToilet
បន្ទប់ទឹកមាននៅកន្លែងណា?,FindToilet
នៅកន្លែងណាមានបន្ទប់ទឹក?,FindToilet
បន្ទប់ទឹកមាននៅកន្លែងណាខ្លះ?,FindToilet
នៅកន្លែងណាខ្លះមានបន្ទប់ទឹក?,FindToilet
កន្លែងនោមមាននៅឯណា?,FindToilet
នៅឯណាមានកន្លែងនោម?,FindToilet
កន្លែងនោមមាននៅឯណាខ្លះ?,FindToilet
នៅឯណាខ្លះមានកន្លែងនោម?,FindToilet
កន្លែងនោមមាននៅកន្លែងណា?,FindToilet
នៅកន្លែងណាមានកន្លែងនោម?,FindToilet
