question,intent
អគារនៅInovation Centerបង្កើតឡើងសម្រាប់ធ្វើអ្វីខ្លះ?,AskBuildingInformationInCADT
អគារខេតមានប៉ុន្មាន?,AskBuildingInformationInCADT
អគារCADTមានសរុបប៉ុន្មាន?,AskBuildingInformationInCADT
អគារខេតមានសរុបប៉ុន្មាន?,AskBuildingInformationInCADT
អគារCADTមានម៉ាន?,AskBuildingInformationInCADT
អគារខេតមានម៉ាន?,AskBuildingInformationInCADT
អគារCADTមានប៉ុន្មាន?,AskBuildingInformationInCADT
អគារនៅអុីននូវេសុិន​សេនធឺបង្កើតឡើងសម្រាប់ធ្វើអ្វីខ្លះ?,AskBuildingInformationInCADT
អគារនៅInovation Centerបង្កើតឡើងសម្រាប់ធ្វើអ្វី?,AskBuildingInformationInCADT
អគារនៅអុីននូវេសុិន​សេនធឺបង្កើតឡើងសម្រាប់ធ្វើអ្វី?,AskBuildingInformationInCADT
អគារនៅInovation Centerបង្កើតឡើងដើម្បីអ្វីខ្លះ?,AskBuildingInformationInCADT
អគារនៅអុីននូវេសុិន​សេនធឺបង្កើតឡើងដើម្បីអ្វីខ្លះ?,AskBuildingInformationInCADT
អគារនៅInovation Centerបង្កើតឡើងដើម្បីអ្វី?,AskBuildingInformationInCADT
អគារនៅអុីននូវេសុិន​សេនធឺបង្កើតឡើងដើម្បីអ្វី?,AskBuildingInformationInCADT
អគារនៅInovation Centerសាងសងឡើងសម្រាប់ធ្វើអ្វីខ្លះ?,AskBuildingInformationInCADT
អគារនៅអុីននូវេសុិន​សេនធឺសាងសងឡើងសម្រាប់ធ្វើអ្វីខ្លះ?,AskBuildingInformationInCADT
អគារនៅInovation Centerសាងសងឡើងសម្រាប់ធ្វើអ្វី?,AskBuildingInformationInCADT
អគារនៅអុីននូវេសុិន​សេនធឺសាងសងឡើងសម្រាប់ធ្វើអ្វី?,AskBuildingInformationInCADT
អគារនៅInovation Centerសាងសងឡើងដើម្បីអ្វីខ្លះ?,AskBuildingInformationInCADT
អគារនៅអុីននូវេសុិន​សេនធឺសាងសងឡើងដើម្បីអ្វីខ្លះ?,AskBuildingInformationInCADT
អគារនៅInovation Centerសាងសងឡើងដើម្បីអ្វី?,AskBuildingInformationInCADT
អគារនៅអុីននូវេសុិន​សេនធឺសាងសងឡើងដើម្បីអ្វី?,AskBuildingInformationInCADT
