question,intent
នៅទីនេះមានបង្គន់អត់?,IsToiletExist
មានបង្គន់នៅជាន់នេះ?,IsToiletExist
នៅជាន់នេះមានបង្គន់អត់?,IsToiletExist
មានបង្គន់នៅជាន់នឹង?,IsToiletExist
នៅជាន់នឹងមានបង្គន់អត់?,IsToiletExist
មានបង្គន់នៅនេះ?,IsToiletExist
នៅនេះមានបង្គន់អត់?,IsToiletExist
មានបង្គន់នៅឯនេះ?,IsToiletExist
នៅឯនេះមានបង្គន់អត់?,IsToiletExist
មានបង្គន់នៅនឹង?,IsToiletExist
នៅនឹងមានបង្គន់អត់?,IsToiletExist
មានបង្គន់នៅឯCADT?,IsToiletExist
នៅឯCADTមានបង្គន់អត់?,IsToiletExist
មានបង្គន់នៅCADT?,IsToiletExist
នៅCADTមានបង្គន់អត់?,IsToiletExist
មានបង្គន់នៅឯសុីអេដីធី?,IsToiletExist
នៅឯសុីអេដីធីមានបង្គន់អត់?,IsToiletExist
មានបង្គន់នៅសុីអេដីធី?,IsToiletExist
នៅសុីអេដីធីមានបង្គន់អត់?,IsToiletExist
មានបង្គន់នៅឯNIPTICT?,IsToiletExist
នៅឯNIPTICTមានបង្គន់អត់?,IsToiletExist
មានបង្គន់នៅណិពទិច?,IsToiletExist
នៅណិពទិចមានបង្គន់អត់?,IsToiletExist
មានបង្គន់នៅទីនេះ?,IsToiletExist
នៅទីនេះមានបង្គន់ដែរឫទេ?,IsToiletExist
នៅជាន់នេះមានបង្គន់ដែរឫទេ?,IsToiletExist
នៅជាន់នឹងមានបង្គន់ដែរឫទេ?,IsToiletExist
នៅនេះមានបង្គន់ដែរឫទេ?,IsToiletExist
នៅឯនេះមានបង្គន់ដែរឫទេ?,IsToiletExist
នៅនឹងមានបង្គន់ដែរឫទេ?,IsToiletExist
នៅឯCADTមានបង្គន់ដែរឫទេ?,IsToiletExist
នៅCADTមានបង្គន់ដែរឫទេ?,IsToiletExist
នៅឯសុីអេដីធីមានបង្គន់ដែរឫទេ?,IsToiletExist
នៅសុីអេដីធីមានបង្គន់ដែរឫទេ?,IsToiletExist
នៅឯNIPTICTមានបង្គន់ដែរឫទេ?,IsToiletExist
នៅណិពទិចមានបង្គន់ដែរឫទេ?,IsToiletExist
នៅទីនេះមានបង្គន់ដែរអត់?,IsToiletExist
នៅជាន់នេះមានបង្គន់ដែរអត់?,IsToiletExist
នៅជាន់នឹងមានបង្គន់ដែរអត់?,IsToiletExist
នៅនេះមានបង្គន់ដែរអត់?,IsToiletExist
នៅឯនេះមានបង្គន់ដែរអត់?,IsToiletExist
នៅនឹងមានបង្គន់ដែរអត់?,IsToiletExist
នៅឯCADTមានបង្គន់ដែរអត់?,IsToiletExist
នៅCADTមានបង្គន់ដែរអត់?,IsToiletExist
